"","X","track_id","artists","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
"16",16046,"5vFFMf3on3rtVu46VDQJ1T","Johann Sebastian Bach;Boston Symphony Orchestra;Seiji Ozawa","Klassische Weihnachtsmusik","Vom Himmel hoch da komm ich her, BWV 769 - Orch. Stravinsky: Choral",0,47000,"False",0.232,0.0142,0,-24.701,1,0.0308,0.996,0.867,0.133,0.255,95.139,5,"classical"
"17",16049,"3hyLdoIjuv5JV0MyE4GQkg","Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler","Weihnachten Klassik 2022","Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",0,204666,"False",0.138,0.173,7,-17.603,1,0.0371,0.955,0.928,0.161,0.159,100.657,4,"classical"
"18",16052,"5E0ae8cM2HQPvNaQMRpQeI","Frédéric Chopin;Benjamin Grosvenor","Relajación y siestas","Nocturne No. 19 in E Minor, Op. 72, No. 1",0,241986,"False",0.331,0.00735,4,-30.904,0,0.0362,0.991,0.952,0.0968,0.0944,66.628,4,"classical"
"19",16055,"7qIiirN1hw76BVUA9OfMbx","Frédéric Chopin;Alice Sara Ott","The Best Classical Playlist","24 Preludes, Op. 28: No. 1 in C Major. Agitato",0,36453,"False",0.246,0.144,0,-23.904,1,0.0456,0.994,0.902,0.0908,0.0558,66.196,4,"classical"
"20",16058,"7lUR4anj3pEalvriwjhmav","Frédéric Chopin;Dang Thai Son","Relajación y siestas","Nocturne In C-Sharp Minor, Op. Posth.",0,243501,"False",0.211,0.0309,8,-29.185,1,0.035,0.988,0.917,0.0685,0.206,73.82,4,"classical"
"21",16061,"0KMayG55Y3QCYK2Yxq7qj7","Ludwig van Beethoven;Murray Perahia","Clásica para los niños de hoy","Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",0,316440,"False",0.146,0.00241,1,-40.843,0,0.0434,0.995,0.945,0.113,0.0973,166.462,3,"classical"
"22",16064,"3BH94h2gsVDD807EARW6Hi","Johann Sebastian Bach;Arioso Quartett Wien","Encores","Nun komm der Heiden Heiland, BWV 659 (Arr. for String Quartet)",0,282026,"False",0.171,0.0367,7,-22.811,0,0.0435,0.808,0.332,0.122,0.0838,131.559,4,"classical"
"23",16067,"26qzCtXMEqNpNKmRL6LEOK","Frédéric Chopin;Lang Lang","Relajación y siestas","24 Préludes, Op. 28: No. 15 Sostenuto in D-Flat Major, C. 180 ""Raindrop Prelude""",0,394613,"False",0.426,0.0331,1,-22.214,1,0.0483,0.991,0.897,0.0922,0.063,133.71,4,"classical"
"24",16070,"6b1KdkIVdrx4l3kGhv5oKW","Frédéric Chopin;David Fung","Yarlung Records: Fifteen Years","Nocturne in C-Sharp Minor, B. 49, Op. Posth",0,247510,"False",0.339,0.0322,6,-22.741,0,0.0501,0.99,0.92,0.0854,0.0986,69.941,4,"classical"
"25",16073,"5EE1IDPjm2vQ4sYqXEdM0s","Frédéric Chopin;Wilhelm Kempff","Clásica para los niños de hoy","Berceuse in D-Flat Major, Op. 57",0,286466,"False",0.368,0.0334,1,-30.83,1,0.0326,0.987,0.939,0.135,0.128,97.2,4,"classical"
"26",16076,"1YiKbubLpCNli6Bu70y0Mf","Johann Sebastian Bach;Daniel Hope;Lorenza Borrani;Lucy Gould;Stewart Eaton;William Conway;Enno Senft;Stefan Maass;Stefan Rath","Classical Christmas 2022","Suite No. 3 in D Major, BWV 1068: II. Air",0,301333,"False",0.169,0.049,2,-23.409,1,0.0385,0.956,0.017,0.15,0.0799,136.065,4,"classical"
"27",16079,"5zrxKUk0KCbic2yoilTPs8","Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler","Classical Christmas 2022","Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",1,204666,"False",0.138,0.173,7,-17.603,1,0.0371,0.955,0.928,0.161,0.159,100.657,4,"classical"
"28",16082,"0HOrX3f1vhUpn5hknKAM9W","Johann Sebastian Bach;Gundula Janowitz;Christa Ludwig;Fritz Wunderlich;Münchener Bach-Orchester;Karl Richter","Classical Christmas 2022","Christmas Oratorio, BWV 248 / Pt. 5 - For the 1st Sunday in the New Year: No. 51 Terzetto: ""Ach, wann wird die Zeit erscheinen?""",0,320173,"False",0.343,0.243,11,-15.404,0,0.0578,0.943,0,0.532,0.417,73.48,4,"classical"
"29",16085,"5nxE00HIKaYhGykHypliPR","Johann Sebastian Bach;Orion Weiss","Yarlung Records: Fifteen Years","Overture in the French Style, Op. 2, BWV 831 (Excerpts): I. Ouverture",0,459455,"False",0.222,0.169,11,-22.07,0,0.0492,0.993,0.925,0.0965,0.428,58.948,4,"classical"
"30",16088,"0huiFyRSfBMAcFCErjxbiL","Johann Sebastian Bach;Olaf Bär;Crispian Steele-Perkins;English Baroque Soloists;John Eliot Gardiner","Classical Christmas 2022","Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 8 Aria: ""Großer Herr, o starker König""",0,262306,"False",0.579,0.276,1,-17.433,1,0.0446,0.958,0.00202,0.0551,0.715,95.222,4,"classical"
"31",16091,"0c1rZSPk2AtPkcfjfsU7QB","Johann Sebastian Bach;The Monteverdi Choir;English Baroque Soloists;John Eliot Gardiner","Classical Christmas 2022","Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 1 Chorus: ""Jauchzet, frohlocket""",0,459360,"False",0.499,0.327,1,-16.66,1,0.0382,0.937,0.161,0.131,0.43,134.882,3,"classical"
"32",16094,"13fHL98xB2yE18abme2NbU","Johann Sebastian Bach;Daniel Hope;Lorenza Borrani;Lucy Gould;Stewart Eaton;William Conway;Enno Senft;Stefan Maass;Stefan Rath","Weihnachten Klassik 2022","Suite No. 3 in D Major, BWV 1068: II. Air",0,301333,"False",0.169,0.049,2,-23.409,1,0.0385,0.956,0.017,0.15,0.0799,136.065,4,"classical"
"33",16097,"4335pP7BWDcZtaiLz1NEMb","Johann Sebastian Bach;Olaf Bär;Crispian Steele-Perkins;English Baroque Soloists;John Eliot Gardiner","Weihnachten Klassik 2022","Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 8 Aria: ""Großer Herr, o starker König""",0,262306,"False",0.579,0.276,1,-17.433,1,0.0446,0.958,0.00202,0.0551,0.715,95.222,4,"classical"
"34",16100,"5vBMUlQOjiL6d4j5WndjSd","Bombay Jayashri;Danvendra Arya","LoFi Songs","Zara Zara - LoFi",48,256971,"False",0.635,0.486,11,-11.857,0,0.0698,0.707,0.0854,0.422,0.343,130.088,4,"classical"
"35",16103,"5kWMV8yuPP6zSdz4MZhjVh","Sultan Khan;Shreya Ghoshal;Salim Merchant","Ustad And The Divas","Leja Leja",45,269815,"False",0.603,0.743,9,-7.013,1,0.0553,0.728,4.22e-05,0.103,0.341,100.021,4,"classical"
"36",16106,"0qRgtkRi15K2osfLIvcHEs","Bombay Jayashri","Star Hits of Vijay & Surya","Ondra Renda (From ""Kaakha Kaakha"")",48,306626,"False",0.642,0.562,9,-9.304,0,0.0607,0.584,0,0.104,0.671,149.82,4,"classical"
"37",16109,"1nS2gyHrXNqlCM7f1A90Pi","Bombay Jayashri","Theri (Original Motion Picture Soundtrack)","Thaimai",51,166229,"False",0.248,0.42,9,-11.747,1,0.0274,0.587,0.00473,0.108,0.218,84.013,3,"classical"
"38",16112,"03EPzqTSIyOUc5YkXFmCjF","Claude Debussy;Alice Sara Ott","Relajación y siestas","Suite bergamasque, L. 75: III. Clair de lune",0,294960,"False",0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,5,"classical"
"39",16115,"2DMiSkHwT061yJo4nWdkvt","Antonio Vivaldi;Cet étrange éclat","Sfumato","Sonate pour violoncelle, RV 47: I. Preludio",1,168266,"False",0.144,0.0231,9,-24.877,1,0.0414,0.604,0.401,0.118,0.108,139.798,4,"classical"
"40",16118,"2SNcSWDurvPuyfRveaJ9Qv","Ludwig van Beethoven;Anatol Ugorski","Relajación y siestas","Bagatelle in A Minor, WoO 59 ""Für Elise""",0,243666,"False",0.323,0.0146,2,-30.952,0,0.053,0.995,0.919,0.0692,0.19,124.998,4,"classical"
"41",16121,"3uRQ7w4efEN5PPgpP2kexy","Pyotr Ilyich Tchaikovsky;Mikhail Pletnev","October Classical Playlist","The Seasons, Op. 37a: No. 10, October, Autumn Song",1,297666,"False",0.305,0.00402,2,-36.333,0,0.0469,0.995,0.921,0.0773,0.16,166.509,1,"classical"
"42",16124,"2aPipAYmH0qKr017W6QSYP","Antonio Vivaldi;Cabin John Middle School Advanced Orchestra;Scott Herman","2021 Midwest Clinic: Cabin John Middle School Advanced Orchestra (Live)","Concerto for 2 Cellos in G Minor, RV 531: I. Allegro (Live)",0,251560,"False",0.401,0.448,7,-22.262,0,0.552,0.918,0.759,0.682,0.695,110.936,4,"classical"
"43",16127,"5EVVBILF2NeX8qpQyxbvYl","Claude Debussy;Andrzej Cieplinski;Tymoteusz Bies","Irrberge","Sonata for violin and piano, L. 140: III. Finale. Très animé",2,311400,"False",0.348,0.111,5,-19.65,1,0.0455,0.982,0.861,0.0874,0.0985,136.303,3,"classical"
"44",16130,"0KMayG55Y3QCYK2Yxq7qj7","Ludwig van Beethoven;Murray Perahia","Clásica para los niños de hoy","Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",0,316440,"False",0.146,0.00241,1,-40.843,0,0.0434,0.995,0.945,0.113,0.0973,166.462,3,"classical"
"45",16133,"7KglChjFBt7P48M94S5Xtz","Antonio Vivaldi;Cecilia Bartoli;Arnold Schoenberg Chor;Il Giardino Armonico;Giovanni Antonini","Silvia Colloca - Sing Like An Italian","Dorilla in Tempe, RV 709: Dell'aura al sussurrar",0,124558,"False",0.519,0.185,0,-19.579,1,0.0452,0.972,3.55e-05,0.0705,0.704,119.371,4,"classical"
"46",16136,"79K4b21afCoS5rOV2g47h2","Pyotr Ilyich Tchaikovsky;phil Blech Wien;Anton Mittermayr","Classical Christmas","Der Nussknacker, Op. 71: Ouvertüre",0,193733,"False",0.707,0.261,5,-14.57,1,0.0559,0.994,0.904,0.0724,0.576,117.466,4,"classical"
"47",16139,"6TAbbhxDGOq97WUQCNBYc4","Pyotr Ilyich Tchaikovsky;Boston Symphony Orchestra;Seiji Ozawa","Classical Christmas","The Nutcracker, Op. 71, TH.14 / Act 1: No. 2 March",0,145013,"False",0.615,0.194,4,-20.573,0,0.0393,0.973,0.808,0.12,0.589,75.981,4,"classical"
"48",16142,"67LYYS7jqF8qTNvEUe0t1M","Claude Debussy;Arturo Benedetti Michelangeli","Clásica para los niños de hoy","Préludes / Book 1, L. 117: VIII. La fille aux cheveux de lin",0,174720,"False",0.411,0.00692,6,-30.268,1,0.0512,0.994,0.882,0.0538,0.17,101.663,4,"classical"
"49",16145,"4AKUmRJmSyi0uwiP6HxKzG","Claude Debussy;Jacques Février","Clásica para los niños de hoy","Préludes / Book 1, L.117: 8. La fille aux cheveux de lin",0,129132,"False",0.416,0.00701,6,-31.421,1,0.0558,0.995,0.952,0.078,0.234,72.341,4,"classical"
"50",16148,"5I8ljz9WeudlOIoDBOL0dJ","Pyotr Ilyich Tchaikovsky;National Philharmonic Orchestra;Richard Bonynge","Classical Running","Swan Lake, Op. 20, TH.12 / Act 3: No. 21 Danse espagnole (Allegro non troppo. Tempo di bolero)",0,173560,"False",0.397,0.213,6,-19.174,0,0.0303,0.597,0.0596,0.196,0.506,107.562,3,"classical"
"51",16151,"4GaTyDp4257sMSNbNXIlMW","Bombay Jayashri","Baahubali - The Beginning","Mamta Se Bhari",44,228985,"False",0.63,0.414,9,-9.888,0,0.0291,0.615,0.000329,0.162,0.394,100.946,4,"classical"
"52",16154,"2WdqL8OHTKV7NA9zfeTsFq","Andrea Bocelli","En la nada","El Abeto",0,257680,"False",0.358,0.233,5,-10.632,1,0.0305,0.884,2.8e-06,0.0838,0.167,82.938,3,"classical"
"53",16157,"3oIit4SAjQVdzqY15adCpV","Yiruma","Classical Christmas","Maybe Christmas - Orchestra Version",0,303297,"False",0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71,4,"classical"
"54",16160,"2PWYFc8JR7O1KWOoGofltM","Andrea Bocelli;Reba McEntire","Holidays Are Coming","Blue Christmas",0,256880,"False",0.168,0.306,5,-9.298,1,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4,"classical"
"55",16163,"1U1DAlctm9lKbTYUSczTgU","Yiruma","Klassische Weihnachtsmusik","Maybe Christmas - Orchestra Version",0,303297,"False",0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71,4,"classical"
"56",16166,"5XPQQLzZUXLIT6mLnLRY83","Andrea Bocelli;Reba McEntire","World's Best Christmas Playlist","Blue Christmas",0,256880,"False",0.168,0.306,5,-9.298,1,0.0331,0.828,3.92e-06,0.0969,0.131,77.89,4,"classical"
"57",16169,"35HIvMiqOB6hPisSOAX6Sr","Erik Satie;Alice Sara Ott","Relajación y siestas","3 Gymnopédies: No. 1 Lent et douloureux",0,205280,"False",0.448,0.00609,7,-38.376,1,0.184,0.994,0.936,0.0749,0.201,76.323,4,"classical"
"58",16172,"5hEdBoHMDEpXUKAhSi1kCB","Wiener Philharmoniker;Claudio Abbado","Pumpkin Patch Hits","21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",0,139266,"False",0.365,0.196,3,-14.108,1,0.0349,0.904,0.968,0.0831,0.588,77.88,4,"classical"
"59",16175,"3tKdiNNytrfyet3dkDB594","Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich","Classical Christmas 2022","The Nutcracker (Suite), Op. 71a, TH. 35: IIb. Dance of the Sugar-Plum Fairy",1,126000,"False",0.277,0.0113,4,-38.384,0,0.0285,0.769,0.00268,0.321,0.0725,102.532,4,"classical"
"60",16178,"5fOI6B4Ccf9z8vBUq5SBzM","Pyotr Ilyich Tchaikovsky;Boston Symphony Orchestra;Seiji Ozawa","Classical Christmas 2022","The Nutcracker, Op. 71, TH.14 / Act 1: No. 2 March",0,145013,"False",0.615,0.194,4,-20.573,0,0.0393,0.973,0.808,0.12,0.589,75.981,4,"classical"
"61",16181,"68xC2JQSgK9L43IkW7UvNT","Pyotr Ilyich Tchaikovsky;Daniel Hope;Zürcher Kammerorchester","Relajación y siestas","Serenade for String Orchestra in C Major, Op. 48, TH 48: II. Waltz. Moderato. Tempo di Valse",0,242680,"False",0.232,0.184,7,-20.299,1,0.0452,0.917,0.916,0.126,0.254,89.624,3,"classical"
"62",16184,"5XHvLFENXejcEhj5kdLGt5","Pyotr Ilyich Tchaikovsky;Evgeny Kissin;Berliner Philharmoniker;Herbert von Karajan","Classical Running","Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH. 55: 3. Allegro con fuoco - Live at Philharmonie, Berlin",0,526706,"False",0.378,0.379,10,-16.888,0,0.136,0.961,0.835,0.682,0.347,135.92,3,"classical"
"63",16187,"4BcJHAfuQXCnFtT0kesqu8","Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich","Weihnachten Klassik 2022","The Nutcracker (Suite), Op. 71a, TH. 35: IIb. Dance of the Sugar-Plum Fairy",0,126000,"False",0.277,0.0113,4,-38.384,0,0.0285,0.769,0.00268,0.321,0.0725,102.532,4,"classical"
"64",16190,"2bl8Hq0Zhn9NRFr8u4zVhP","Pyotr Ilyich Tchaikovsky;Wiener Philharmoniker;James Levine","Clásica para los niños de hoy","Nutcracker Suite, Op. 71a, TH.35: Dance Of The Sugar-Plum Fairy",0,101000,"False",0.528,0.029,11,-33.589,0,0.0362,0.966,0.316,0.329,0.239,129.514,4,"classical"
"65",16193,"4FcMVYbK3QvacUKVCZYusj","Pyotr Ilyich Tchaikovsky;Boston Symphony Orchestra;Seiji Ozawa","Weihnachten Klassik 2022","The Nutcracker, Op. 71, TH.14 / Act 1: No. 2 March",0,145013,"False",0.615,0.194,4,-20.573,0,0.0393,0.973,0.808,0.12,0.589,75.981,4,"classical"
"66",16196,"2zVSGtCffG15vICqQDjrHH","Pyotr Ilyich Tchaikovsky;Boston Pops Orchestra;Arthur Fiedler","Weihnachten Klassik 2022","Nutcracker Suite Opus 71A: Waltz Of The Flowers (Act 2)",0,403600,"False",0.198,0.189,2,-17.582,1,0.0373,0.97,0.871,0.0512,0.235,183.664,3,"classical"
"67",16199,"2vdNa2nf6ptRqSiUgGjxlS","Pyotr Ilyich Tchaikovsky;Los Angeles Philharmonic;Gustavo Dudamel","Weihnachten Klassik 2022","The Nutcracker, Op. 71, TH 14 / Act 2: No. 13 Waltz of the Flowers - Live at Walt Disney Concert Hall, Los Angeles / 2013",0,449813,"False",0.15,0.0701,2,-21.872,1,0.0456,0.91,0.852,0.077,0.0903,181.584,3,"classical"
"68",16202,"0syWP6hExPrVVfq8yVL0oa","Priya Sisters","Lalitha Pancharatnam","Lalitha Sahasranama Sthothram",43,1755311,"False",0.54,0.438,9,-8.409,1,0.0765,0.815,0,0.388,0.777,89.848,1,"classical"
"69",16205,"1tK29op2PjXpYyYdnWMqT5","Camille Saint-Saëns;Isata Kanneh-Mason;Jeneba Kanneh-Mason;Sheku Kanneh-Mason","Clásica para los niños de hoy","Carnival of the Animals: The Swan",0,150146,"False",0.213,0.0656,7,-24.81,1,0.0467,0.992,0.969,0.0699,0.0384,65.023,3,"classical"
"70",16208,"1D0jiXy3pWSk1QxcB8WWhY","Academy of St. Martin in the Fields;Sir Neville Marriner","Happy Christmas Instrumentals","Three German Dances, K.605: No. 3 in C, Trio ""Die Schlittenfahrt""",0,175000,"False",0.414,0.17,0,-13.479,1,0.0317,0.761,0.00728,0.143,0.455,146.763,3,"classical"
"71",16211,"18DA9kxKKd4pjjdanpDTaa","Camille Saint-Saëns;Daniel Reichert;Simon Reichert","Belle Époque","Fantasie No. 1 in E-Flat Major (Transcr. H. Büsser for Cornet & Organ)",0,339613,"False",0.288,0.186,3,-19.017,1,0.0628,0.965,0.971,0.126,0.0673,67.37,4,"classical"
"72",16214,"5MCblxNlk6UcZ0m5qFdxVm","Franz Schubert;Kanako Yanagida;Kentaro Ifuku","Suono eterno","Violin Sonata in D Major, Op. 137 No. 1, D. 384: III. Allegro vivace",0,255746,"False",0.511,0.256,2,-12.872,1,0.0535,0.978,0.0144,0.0588,0.804,89.321,3,"classical"
"73",16217,"6XjBNMzl25wEBebNMdPMGg","Edvard Grieg;Una Bourne","Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 2, Vals",0,88506,"False",0.419,0.213,9,-23.095,1,0.0357,0.961,0.899,0.237,0.36,97.708,3,"classical"
"74",16220,"48ZzmYIUdGCOZabZlSdBXi","Edvard Grieg;Una Bourne","Mozart, Liszt & Others: Piano Works","Piano Sonata in E Minor, Op. 7: III. Alla menuetto",0,203426,"False",0.428,0.119,4,-24.668,1,0.0374,0.952,0.000416,0.429,0.248,79.497,4,"classical"
"75",16223,"5Ib5W64RwrPCN3bnRO4C2W","Edvard Grieg;Una Bourne","Mozart, Liszt & Others: Piano Works","Lyric Pieces I, Op. 12 (Excerpts): No. 5, Folkevise",0,59653,"False",0.376,0.129,6,-23.677,0,0.0397,0.993,0.899,0.142,0.561,56.596,4,"classical"
"76",16226,"1VsXbdekUKQ0KJIBaqC96E","Franz Schubert;Yanica Hristova","Schubert: Impromptus, D. 899 - Baynov, Stoyanov & Vladigerov: Piano Works","4 Impromptus, Op. 90, D. 899: II. Allegro - Coda",0,271080,"False",0.289,0.139,3,-21.256,0,0.0355,0.991,0.923,0.161,0.226,94.938,4,"classical"
"77",16229,"5JEyr135t1qMJioNg7fy5s","Edvard Grieg;Dietrich Fischer-Dieskau;Hartmut Höll","October Classical Playlist","Fem digte, Op. 26: No. 5, Herbststimmung",0,93000,"False",0.357,0.0147,5,-22.524,0,0.0479,0.985,0.000447,0.0584,0.11,107.869,1,"classical"
"78",16232,"41vzOoyErnPT7zkxo2hvOa","Franz Schubert;Yanica Hristova","Schubert: Impromptus, D. 899 - Baynov, Stoyanov & Vladigerov: Piano Works","4 Impromptus, Op. 90, D. 899: IV. Allegretto - Trio",0,497146,"False",0.318,0.0543,8,-24.681,1,0.0385,0.991,0.932,0.111,0.0388,67.716,3,"classical"
"79",16235,"2wmQki14Gwt1gZUQdrWI1W","Johannes Brahms;Karin Lechner","Refreshing Piano","Four Pieces For Piano, Op. 119: II. Intermezzo in E Minor",0,289240,"False",0.258,0.0478,4,-26.069,1,0.0505,0.993,0.902,0.113,0.0859,65.37,3,"classical"
"80",16238,"0vbLlw450iyA4eiJoB0pd4","Johannes Brahms;Jessye Norman;Daniel Barenboim;Wolfram Christ","Klassische Weihnachtsmusik","Geistliches Wiegenlied, Op. 91, No. 2",0,371666,"False",0.204,0.0281,5,-27.284,1,0.0445,0.985,0.00233,0.114,0.0984,97.274,4,"classical"
"81",16241,"2tF07mtTCrO5bmw1xv2vzG","Edvard Grieg;Academy of St. Martin in the Fields;Sir Neville Marriner","Classical Running","Holberg Suite, Op. 40: 1. Präludium (Allegro vivace)",0,165000,"False",0.23,0.144,7,-21.34,1,0.0408,0.94,0.869,0.395,0.229,142.163,4,"classical"
"82",16244,"2FlJAJvMqU36pBmkcnvbo8","George Frideric Handel;John Alldis Choir;London Philharmonic Orchestra;Karl Richter","Klassische Weihnachtsmusik","Messiah, HWV 56 / Pt. 2: No. 42 ""Hallelujah""",0,238173,"False",0.412,0.357,2,-11.694,1,0.0262,0.932,0.368,0.296,0.393,99.305,4,"classical"
"83",16247,"1nxjTDshyAJ98qJq0njCJS","Johannes Brahms;Wiener Philharmoniker;Claudio Abbado","Halloween Musica Horror 2022","21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",0,139266,"False",0.365,0.196,3,-14.108,1,0.0349,0.904,0.968,0.0831,0.588,77.88,4,"classical"
"84",16250,"7I9xKtogwLsrAWElRo2j3f","Soolamangalam Sisters","Sri Skandha Guru Kavasam","Sri Skandha Guru Kavacham",40,1341746,"False",0.64,0.494,0,-8.186,1,0.0592,0.96,0,0.0706,0.668,116.006,3,"classical"
"85",16253,"4Ih2roMW5Dyy2IhXVjx68V","Robert Schumann;Pavel Nersessian","Schumann, Poulenc & Others: Piano Works (Live in Japan, 2022)","Faschingsschwank aus Wien, Op. 26: I. Allegro (Live in Japan, 2022)",1,505413,"False",0.353,0.09,3,-22.722,1,0.0373,0.995,0.895,0.0996,0.126,73.523,4,"classical"
